"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.87",-0.580678905356215,0.941540405359925,0.383002431041175,13.7215627703689,-0.699192228844685,0.930519933265636,0.405409270140279,0,87
"result.88",-0.7607447712539,0.923175173431395,0.397760228890839,10.5144867938206,-0.743494640563215,0.925036704244731,0.401591516553899,0,88
"result.89",-0.624869478584335,0.938338976845083,0.41255371431802,3.25253106076686,-0.627200120194564,0.937672639287511,0.398254224001552,0,89
"result.90",-0.735362739578974,0.928923897949933,0.492059010509797,2.56555755339615,-0.819804332033513,0.91987154459018,0.438034009675104,0,90
"result.91",-0.430221267423856,0.956756128285785,0.326077847520437,10.1538828081011,-0.502556002251751,0.949580873597599,0.352991792335156,0,91
"result.92",-0.355300049937757,0.964893770934996,0.378443277796509,2.6095987223273,-0.463949856381067,0.953043154881816,0.403866298950714,0,92
"result.93",-0.485672209588994,0.951768302278256,0.333499726337304,3.38687119994461,-0.466363255972188,0.953124434197932,0.333150607494559,0,93
"result.94",-0.434779012476807,0.955167389762399,0.380170156371397,10.6625203906146,-0.469326987427881,0.952982097060845,0.366819285660992,0,94
"result.95",-0.38533598275033,0.960541283120226,0.359262990267587,3.17908153809488,-0.361710540667467,0.96361332557398,0.331464696238768,0,95
"result.96",-0.54604333017679,0.944161657593091,0.355660565938256,11.5042940466284,-0.693194139481614,0.931053326307702,0.40308033704798,0,96
"result.97",-0.569332682266506,0.944529798409842,0.4271521951441,3.6838966180214,-0.520211981108949,0.949533358895876,0.373363468392523,0,97
"result.98",-0.471132786556067,0.95419529009886,0.410400241610993,2.75641709125398,-0.520867993763279,0.94869852228124,0.368953008571244,0,98
"result.99",-0.886570207202281,0.911709346521914,0.401467491646947,2.85998766510317,-0.891139260687626,0.911372967054506,0.354578602401359,0,99
"result.100",-0.33718679359046,0.965558823674997,0.35426530952119,8.43252209278534,-0.363937629738827,0.963830551298505,0.355332120752466,0,100
