"","1993-11-04","","","1993-11-04","","","","","","",""
"result.92",0.00514722565845993,0.0263226850302445,0,2.11754593717822e-06,0.0148809751169579,0,9.7337494584969e-07,0.0201908334832509,0,1.50436078247893e-06,92
"result.93",0.00314782672080494,0.0261521443285559,0,2.30043176077485e-06,0.0148809751169579,0,1.17331483961517e-06,0.0202206873608074,0,1.70728606400006e-06,93
"result.94",0.000339725684525227,0.0261244616367051,0,2.57847359521771e-06,0.0148809751169579,0,1.45412494324311e-06,0.0200900731379708,0,1.97503474534434e-06,94
"result.95",-0.00536397408123079,0.0259366741799099,0,3.13006482611372e-06,0.0148809751169579,0,2.02449491981865e-06,0.0198748172365899,0,2.52387913178179e-06,95
"result.96",0.000554716554288959,0.0257024217046578,0,2.5147705150366e-06,0.0148809751169579,0,1.43262585626674e-06,0.0198751788470331,0,1.9320462292742e-06,96
"result.97",-0.000554716554288959,0.0256843229842403,0,2.62390395385264e-06,0.0148809751169579,0,1.54356916712452e-06,0.0196748966589954,0,2.02296132132821e-06,97
"result.98",-0.0089829049679393,0.0254419841747975,0,3.4424889142733e-06,0.0148809751169579,0,2.38638800848946e-06,0.0194809613544093,0,2.84638663223454e-06,98
"result.99",-0.00815205454871659,0.0252539602702413,0,3.34060148189542e-06,0.0148809751169579,0,2.3033029665672e-06,0.0198528390432225,0,2.8004893591936e-06,99
"result.100",-0.00126004711144745,0.0257175754216163,0,2.69776225330608e-06,0.0148809751169579,0,1.61410222284036e-06,0.0201272339735126,0,2.13872810849577e-06,100
"result.101",-0.0164829019045216,0.0259903394769125,0,4.24732413814295e-06,0.0148809751169579,0,3.13638770214761e-06,0.0199317025900746,0,3.64146044945922e-06,101
"result.102",-0.0154341404528955,0.0262081539061185,0,4.16422943590094e-06,0.0148809751169579,0,3.031511556985e-06,0.0217995765092807,0,3.72337169621721e-06,102
"result.103",0.000493652134238687,0.0286276982874298,0,2.81340461531881e-06,0.0148809751169579,0,1.43873229827176e-06,0.0235210587255016,0,2.30274065912604e-06,103
"result.104",-0.0154859055192107,0.0297954277317061,0,4.52813332509118e-06,0.0148809751169579,0,3.03668806361653e-06,0.0229910007055944,0,3.84769062248008e-06,104
"result.105",0.0211231707569492,0.030363462506422,0,9.2402917494717e-07,0.0148809751169579,1,0.00624157142042735,0.0249472809705514,0,3.82411021360171e-07,105
"result.106",-0.000535557950198218,0.0328203949772998,0,3.33559529274944e-06,0.0148809751169579,0,1.54165330671544e-06,0.0282793545977406,0,2.88149125479356e-06,106
"result.107",0.0062964332522375,0.0356417685799428,0,2.93453353277021e-06,0.0148809751169579,0,8.58454186471946e-07,0.0277032641584303,0,2.14068309061905e-06,107
"result.108",-0.00841894313998903,0.0353018102252989,0,4.37207533652831e-06,0.0148809751169579,0,2.32999182569444e-06,0.0276660745577053,0,3.60850176976904e-06,108
"result.109",0.00617634436497028,0.0352539916518211,0,2.90776472868476e-06,0.0148809751169579,0,8.70463075198666e-07,0.0278203166576047,0,2.1643972292632e-06,109
"result.110",-0.00512567532184338,0.0352914350092774,0,4.04171103311164e-06,0.0148809751169579,0,2.00066504387991e-06,0.0276479814388166,0,3.27736567606564e-06,110
"result.111",-0.00293120148806025,0.0348796071281257,0,3.78108086161817e-06,0.0148809751169579,0,1.78121766050162e-06,0.027240864256169,0,3.0172065744226e-06,111
"result.112",0.000268854182439604,0.0346158676575854,0,3.4347013475142e-06,0.0148809751169579,0,1.46121209345167e-06,0.0269212111280921,0,2.66523569456495e-06,112
"result.113",-0.00044817604148939,0.0344649299377053,0,3.49131059791909e-06,0.0148809751169579,0,1.53291511584456e-06,0.0267386355073166,0,2.7186811548803e-06,113
"result.114",-0.00837239781474963,0.0338525391077056,0,4.22249369224506e-06,0.0148809751169579,0,2.3253372931705e-06,0.0262487832690223,0,3.46211810837681e-06,114
"result.115",0.000180831638910917,0.0335127003675879,0,3.33318687286733e-06,0.0148809751169579,0,1.47001434780454e-06,0.0264085483493225,0,2.62277167104087e-06,115
"result.116",-0.0013115162987889,0.0334651302849309,0,3.4776646583716e-06,0.0148809751169579,0,1.6192491415745e-06,0.0259428049939668,0,2.72543212927527e-06,116
"result.117",0.0152020351966557,0.032899456399953,0,1.76974212032953e-06,0.0148809751169579,1,0.000321027973689881,0.0255005791271101,0,1.02985439304532e-06,117
"result.118",-0.00245438558741728,0.0330628494849137,0,3.5517235072327e-06,0.0148809751169579,0,1.73353607043733e-06,0.0270743472380922,0,2.95287328255062e-06,118
"result.119",0.011284714511401,0.0341202259000895,0,2.28355113886859e-06,0.0148809751169579,0,3.5962606055565e-07,0.026511006541178,0,1.52262920297753e-06,119
"result.120",-0.00185720722201399,0.0344712190308414,0,3.63284262528514e-06,0.0148809751169579,0,1.673818233897e-06,0.0275554676488003,0,2.94126748708111e-06,120
"result.121",-0.00614892332602057,0.0348620774963209,0,4.10110008223369e-06,0.0148809751169579,0,2.10298984429762e-06,0.0270736991316802,0,3.32226224576971e-06,121
"result.122",0.00402217846480646,0.034439965482413,0,3.04177870176032e-06,0.0148809751169579,0,1.08587966521502e-06,0.0269534332987311,0,2.29312548339221e-06,122
"result.123",0.00466847841878071,0.0342350139284449,0,2.95665355096609e-06,0.0148809751169579,0,1.02124966981761e-06,0.0266520776243763,0,2.19835992055932e-06,123
"result.124",2.20959111150165e-05,0.0339162491262996,0,3.38941532151809e-06,0.0148809751169579,0,1.48588792058412e-06,0.0264304472689423,0,2.64083513578244e-06,124
